Episode 0, Total Reward: -9.16, Epsilon: 0.995
Episode 100, Total Reward: -9.03, Epsilon: 0.603
Episode 200, Total Reward: -9.14, Epsilon: 0.365
Episode 300, Total Reward: -9.17, Epsilon: 0.221
Episode 400, Total Reward: -8.13, Epsilon: 0.134
Episode 500, Total Reward: -5.46, Epsilon: 0.081
Episode 600, Total Reward: 5.67, Epsilon: 0.049
Episode 700, Total Reward: 6.74, Epsilon: 0.030
Episode 800, Total Reward: 4.76, Epsilon: 0.018
Episode 900, Total Reward: 3.86, Epsilon: 0.011
Episode 1000, Total Reward: 3.91, Epsilon: 0.010
Episode 1100, Total Reward: -0.44, Epsilon: 0.010
Episode 1200, Total Reward: -3.41, Epsilon: 0.010
Episode 1300, Total Reward: 0.38, Epsilon: 0.010
Episode 1400, Total Reward: 11.67, Epsilon: 0.010
Episode 1500, Total Reward: -0.71, Epsilon: 0.010
Episode 1600, Total Reward: 6.71, Epsilon: 0.010
Episode 1700, Total Reward: 2.84, Epsilon: 0.010
Episode 1800, Total Reward: 0.14, Epsilon: 0.010
Episode 1900, Total Reward: 5.17, Epsilon: 0.010
Episode 2000, Total Reward: -1.55, Epsilon: 0.010
Episode 2100, Total Reward: 3.82, Epsilon: 0.010
Episode 2200, Total Reward: -9.07, Epsilon: 0.010
Episode 2300, Total Reward: 2.24, Epsilon: 0.010
Episode 2400, Total Reward: 13.36, Epsilon: 0.010
Episode 2500, Total Reward: -10.05, Epsilon: 0.010
Episode 2600, Total Reward: 0.03, Epsilon: 0.010
Episode 2700, Total Reward: 9.64, Epsilon: 0.010
Episode 2800, Total Reward: 5.77, Epsilon: 0.010
Episode 2900, Total Reward: -9.05, Epsilon: 0.010
Episode 3000, Total Reward: -8.08, Epsilon: 0.010
Episode 3100, Total Reward: 3.69, Epsilon: 0.010
Episode 3200, Total Reward: 2.32, Epsilon: 0.010
Episode 3300, Total Reward: 7.45, Epsilon: 0.010
Episode 3400, Total Reward: 3.31, Epsilon: 0.010
Episode 3500, Total Reward: -2.59, Epsilon: 0.010
Episode 3600, Total Reward: -8.28, Epsilon: 0.010
Episode 3700, Total Reward: -1.65, Epsilon: 0.010
Episode 3800, Total Reward: 13.29, Epsilon: 0.010
Episode 3900, Total Reward: 11.28, Epsilon: 0.010
Episode 4000, Total Reward: 4.51, Epsilon: 0.010
Episode 4100, Total Reward: 10.52, Epsilon: 0.010
Episode 4200, Total Reward: 3.07, Epsilon: 0.010
Episode 4300, Total Reward: 1.97, Epsilon: 0.010
Episode 4400, Total Reward: 7.04, Epsilon: 0.010
Episode 4500, Total Reward: 16.36, Epsilon: 0.010
Episode 4600, Total Reward: 0.19, Epsilon: 0.010
Episode 4700, Total Reward: 0.49, Epsilon: 0.010
Episode 4800, Total Reward: 4.87, Epsilon: 0.010
Episode 4900, Total Reward: -1.60, Epsilon: 0.010
